team,team_code,group,Soccer_power_index,Offence_rating,Defence_rating,Average_age,Average_height,june_fifa_rank,june_fifa_points,all_time_fifa_ranking,total_world_cup_points,total_world_cup_matches_played,total_worldcup_match_wins,total_worldcup_match_draws,total_worldcup_match_losses,total_worldcup_match_goals_scored,total_worldcup_match_goals_against,total_worldcup_match_average_points,total_worldcup_appearances
Argentina,ARG,D,87.14876,2.57571,0.40808,28.4,179.4,5,1241,4,140,77,42,14,21,131,84,1.8,16
Australia,AUS,C,62.52712,1.80032,1.01758,26.9,181.3,36,718,46,9,13,2,3,8,11,26,0.7,4
Belgium,BEL,G,85.40682,2.81096,0.63262,27,183.8,3,1298,14,51,41,14,9,18,52,66,1.1,12
Brazil,BRA,E,92.39264,3.05704,0.31349,27.8,180.4,2,1431,1,227,104,70,17,17,221,102,2.2,20
Colombia,COL,H,80.52894,2.1824,0.51246,27.3,180.2,16,986,28,23,18,7,2,9,26,27,1.3,5
Costa Rica,CRC,E,64.60044,1.69093,0.83843,29,181.6,23,884,29,19,15,5,4,6,17,23,1.3,4
Croatia,CRO,D,81.11321,2.31182,0.56419,27.5,184.9,20,945,27,23,16,7,2,7,21,17,1.4,4
Denmark,DEN,C,74.37596,2.09598,0.73126,26.1,185,12,1051,25,26,16,8,2,6,27,24,1.6,4
Egypt,EGY,A,61.37354,1.54988,0.85073,27,180.1,45,649,65,2,4,0,2,2,3,6,0.5,2
England,ENG,G,83.72824,2.34392,0.45752,25.9,182.1,12,1051,6,98,62,26,20,16,79,56,1.6,14
Spain,ESP,B,91.49942,3.32662,0.50111,28,179.5,10,1126,5,99,59,29,12,18,92,66,1.7,14
France,FRA,C,86.531,2.82202,0.57358,26.4,180.5,7,1198,7,96,59,28,12,19,106,71,1.6,14
Germany,GER,F,89.87194,3.13775,0.52709,25.7,183.8,1,1558,2,218,106,66,20,20,224,121,2.1,18
Iran,IRN,B,66.39664,1.59443,0.68811,26.5,183.4,37,708,54,6,12,1,3,8,7,22,0.5,4
Iceland,ISL,D,67.61403,1.94492,0.91545,29,185,22,908,,,,,,,,,,
Japan,JPN,H,71.43255,2.06588,0.84009,27.5,178.1,61,521,35,16,17,4,4,9,14,22,0.9,5
South Korea,KOR,F,60.1367,1.61593,0.95934,26.5,182.2,57,544,26,24,31,5,9,17,31,67,0.8,9
Saudi Arabia,KSA,A,48.82583,1.41276,1.25388,28.7,176.2,67,465,50,8,13,2,2,9,9,32,0.6,4
Morocco,MAR,B,71.12608,1.79471,0.65308,27.2,182.4,41,686,44,10,13,2,4,7,12,18,0.8,4
Mexico,MEX,F,76.66933,2.17655,0.68367,27.4,179.5,15,989,13,56,53,14,14,25,57,92,1.1,15
Nigeria,NGA,D,69.03482,1.77134,0.72074,24.9,181.2,48,618,32,18,18,5,3,10,20,26,1,5
Panama,PAN,G,56.47272,1.45612,0.96652,29.4,181.1,55,571,,,,,,,,,,
Peru,PER,C,72.19683,1.95375,0.72466,27,178.3,11,1125,37,15,15,4,3,8,19,31,1,4
Poland,POL,H,73.28044,2.18065,0.84065,28,183.1,8,1183,15,50,31,15,5,11,44,40,1.6,7
Portugal,POR,B,84.13774,2.51946,0.53663,27.7,180.5,4,1274,17,43,26,13,4,9,43,29,1.6,6
Russia,RUS,A,72.32631,2.01687,0.76488,28.1,184.3,70,457,11,59,40,17,8,15,66,47,1.5,9
Senegal,SEN,H,65.96802,1.65995,0.75761,26.4,183.7,27,838,45,8,5,2,2,1,7,6,1.6,1
Serbia,SRB,E,73.68826,2.0414,0.7231,27.7,185.6,34,751,12,59,43,17,8,18,64,59,1.4,11
Switzerland,SUI,E,78.90333,2.31315,0.66988,26.6,183.5,6,1199,21,39,33,11,6,16,45,59,1.2,10
Sweden,SWE,F,73.86757,2.05513,0.72496,27.4,185.2,24,880,10,61,46,16,13,17,74,69,1.3,11
Tunisia,TUN,G,59.59496,1.62315,0.98848,26.8,184,21,910,52,7,12,1,4,7,8,17,0.6,4
Uruguay,URU,A,80.04062,2.2736,0.59125,28.7,179.8,14,1018,9,72,51,20,12,19,80,71,1.4,12
